monitoring_location_id,time,parameter_code,parameter_name,value,unit_of_measure,statistic_id,approval_status
USGS-01357500,2024-06-10,00060,,4480,ft^3/s,00003,Approved
USGS-01357500,2024-06-11,00060,,3870,ft^3/s,00003,Approved
USGS-01357500,2024-06-12,00060,,2740,ft^3/s,00003,Approved
USGS-01357500,2024-06-13,00060,,2330,ft^3/s,00003,Approved
USGS-01357500,2024-06-15,00060,,1150,ft^3/s,00003,Approved
USGS-01357500,2024-06-16,00060,,1490,ft^3/s,00003,Approved
USGS-01357500,2024-06-17,00060,,1420,ft^3/s,00003,Approved
USGS-01357500,2024-06-19,00060,,1280,ft^3/s,00003,Approved
USGS-01357500,2024-06-20,00060,,1590,ft^3/s,00003,Approved
USGS-01357500,2024-06-21,00060,,2470,ft^3/s,00003,Approved
USGS-01357500,2024-06-22,00060,,2150,ft^3/s,00003,Approved
USGS-01357500,2024-06-24,00060,,10100,ft^3/s,00003,Approved
USGS-01357500,2024-06-25,00060,,3920,ft^3/s,00003,Approved
USGS-01357500,2024-06-26,00060,,3120,ft^3/s,00003,Approved
USGS-01357500,2024-06-27,00060,,2050,ft^3/s,00003,Approved
USGS-01357500,2024-07-02,00060,,3920,ft^3/s,00003,Approved
USGS-01357500,2024-07-03,00060,,1860,ft^3/s,00003,Approved
USGS-01357500,2024-07-04,00060,,1850,ft^3/s,00003,Approved
USGS-01357500,2024-07-05,00060,,2160,ft^3/s,00003,Approved
USGS-01357500,2024-07-06,00060,,2240,ft^3/s,00003,Approved
USGS-01357500,2024-07-07,00060,,2130,ft^3/s,00003,Approved
USGS-01357500,2024-07-08,00060,,1860,ft^3/s,00003,Approved
USGS-01357500,2024-07-10,00060,,2830,ft^3/s,00003,Approved
USGS-01357500,2024-07-11,00060,,2090,ft^3/s,00003,Approved
USGS-01357500,2024-07-13,00060,,2430,ft^3/s,00003,Approved
USGS-01357500,2024-07-14,00060,,1890,ft^3/s,00003,Approved
USGS-01357500,2024-07-15,00060,,1850,ft^3/s,00003,Approved
USGS-01357500,2024-07-16,00060,,1510,ft^3/s,00003,Approved
USGS-01357500,2024-07-17,00060,,4080,ft^3/s,00003,Approved
USGS-01357500,2024-07-19,00060,,1910,ft^3/s,00003,Approved
USGS-01357500,2024-07-20,00060,,1120,ft^3/s,00003,Approved
USGS-01357500,2024-07-21,00060,,1990,ft^3/s,00003,Approved
USGS-01357500,2024-07-22,00060,,1640,ft^3/s,00003,Approved
USGS-01357500,2024-07-24,00060,,2000,ft^3/s,00003,Approved
USGS-01357500,2024-07-26,00060,,1520,ft^3/s,00003,Approved
USGS-01357500,2024-07-27,00060,,1470,ft^3/s,00003,Approved
USGS-01357500,2024-07-28,00060,,1870,ft^3/s,00003,Approved
USGS-01357500,2024-07-31,00060,,2000,ft^3/s,00003,Approved
USGS-01357500,2024-08-01,00060,,2070,ft^3/s,00003,Approved
USGS-01357500,2024-08-02,00060,,1390,ft^3/s,00003,Approved
USGS-01357500,2024-08-03,00060,,1730,ft^3/s,00003,Approved
USGS-01357500,2024-08-04,00060,,1580,ft^3/s,00003,Approved
USGS-01357500,2024-08-06,00060,,4220,ft^3/s,00003,Approved
USGS-01357500,2024-08-07,00060,,5300,ft^3/s,00003,Approved
USGS-01357500,2024-08-09,00060,,12400,ft^3/s,00003,Approved
USGS-01357500,2024-08-10,00060,,16500,ft^3/s,00003,Approved
USGS-01357500,2024-08-12,00060,,7570,ft^3/s,00003,Approved
USGS-01357500,2024-08-15,00060,,1320,ft^3/s,00003,Approved
USGS-01357500,2024-08-17,00060,,804,ft^3/s,00003,Approved
USGS-01357500,2024-08-18,00060,,3050,ft^3/s,00003,Approved
USGS-01357500,2024-08-19,00060,,3310,ft^3/s,00003,Approved
USGS-01357500,2024-08-22,00060,,4920,ft^3/s,00003,Approved
USGS-01357500,2024-08-23,00060,,2740,ft^3/s,00003,Approved
USGS-01357500,2024-08-24,00060,,2880,ft^3/s,00003,Approved
USGS-01357500,2024-08-25,00060,,2210,ft^3/s,00003,Approved
USGS-01357500,2024-08-27,00060,,1480,ft^3/s,00003,Approved
USGS-01357500,2024-08-28,00060,,1700,ft^3/s,00003,Approved
USGS-01357500,2024-08-30,00060,,1760,ft^3/s,00003,Approved
USGS-01357500,2024-08-31,00060,,1640,ft^3/s,00003,Approved
USGS-01357500,2024-09-01,00060,,2010,ft^3/s,00003,Approved
USGS-01357500,2024-09-02,00060,,2140,ft^3/s,00003,Approved
USGS-01357500,2024-09-03,00060,,1980,ft^3/s,00003,Approved
USGS-01357500,2024-09-06,00060,,1530,ft^3/s,00003,Approved
USGS-01357500,2024-09-08,00060,,1520,ft^3/s,00003,Approved
USGS-01357500,2024-09-09,00060,,1810,ft^3/s,00003,Approved
USGS-01357500,2024-09-12,00060,,1620,ft^3/s,00003,Approved
USGS-01357500,2024-09-14,00060,,1480,ft^3/s,00003,Approved
USGS-01357500,2024-09-16,00060,,1270,ft^3/s,00003,Approved
USGS-01357500,2024-09-18,00060,,1580,ft^3/s,00003,Approved
USGS-01357500,2024-09-19,00060,,1120,ft^3/s,00003,Approved
USGS-01357500,2024-09-20,00060,,989,ft^3/s,00003,Approved
USGS-01357500,2024-09-22,00060,,1060,ft^3/s,00003,Approved
USGS-01357500,2024-09-23,00060,,1070,ft^3/s,00003,Approved
USGS-01357500,2024-09-24,00060,,1130,ft^3/s,00003,Approved
USGS-01357500,2024-09-25,00060,,1490,ft^3/s,00003,Approved
USGS-01357500,2024-09-26,00060,,1220,ft^3/s,00003,Approved
USGS-01357500,2024-09-27,00060,,2410,ft^3/s,00003,Approved
USGS-01357500,2024-09-28,00060,,2690,ft^3/s,00003,Approved
USGS-01357500,2024-09-29,00060,,1720,ft^3/s,00003,Approved
USGS-01357500,2024-09-30,00060,,1610,ft^3/s,00003,Approved
USGS-01357500,2024-10-04,00060,,1200,ft^3/s,00003,Approved
USGS-01357500,2024-10-05,00060,,1210,ft^3/s,00003,Approved
USGS-01357500,2024-10-09,00060,,1090,ft^3/s,00003,Approved
USGS-01357500,2024-10-12,00060,,1530,ft^3/s,00003,Approved
USGS-01357500,2024-10-13,00060,,1320,ft^3/s,00003,Approved
USGS-01357500,2024-10-14,00060,,2570,ft^3/s,00003,Approved
USGS-01357500,2024-10-15,00060,,3720,ft^3/s,00003,Approved
USGS-01357500,2024-10-16,00060,,2950,ft^3/s,00003,Approved
USGS-01357500,2024-10-17,00060,,2440,ft^3/s,00003,Approved
USGS-01357500,2024-10-18,00060,,2570,ft^3/s,00003,Approved
USGS-01357500,2024-10-19,00060,,2410,ft^3/s,00003,Approved
USGS-01357500,2024-10-20,00060,,2370,ft^3/s,00003,Approved
USGS-01357500,2024-10-21,00060,,4000,ft^3/s,00003,Approved
USGS-01357500,2024-10-22,00060,,3290,ft^3/s,00003,Approved
USGS-01357500,2024-10-23,00060,,2720,ft^3/s,00003,Approved
USGS-01357500,2024-10-24,00060,,2860,ft^3/s,00003,Approved
USGS-01357500,2024-10-26,00060,,1720,ft^3/s,00003,Approved
USGS-01357500,2024-10-27,00060,,1640,ft^3/s,00003,Approved
USGS-01357500,2024-10-28,00060,,4510,ft^3/s,00003,Approved
